item_id;vectors
0;0.22513169|0.6606605|0.8608293|0.44755483|-0.6012538|-0.15176675|-1.2506986|0.49156573|0.9327458|-0.6850171|-0.19335803|0.27099138|0.8393315|-0.97672874|0.21879521|-0.24671671|-0.17798373|-0.48003224|0.43543005|0.012989521|0.20934363|-0.094149366|0.015541837|0.5083092|-0.56834793|0.29358605|0.31405014|-0.5777155|0.31660748|-0.26058024|0.33975446|-0.27901936|0.7208155|-0.90799654|0.1163571|-0.018759727|-0.4155121|0.8631307|0.66822684|-0.6335647|0.75803506|0.24028078|-0.5918363|-0.3478738|0.1787014|-0.1735479|-0.77164567|-0.22993104|0.22214052|-0.7053329|0.6796973|-0.24162439|-0.3960883|0.9632745|-0.5091835|-0.93525636|-0.08336975|0.24367225|0.17340204|-1.0359807|-0.5135939|-1.0697931|-0.42163882|-0.17380053|0.2554758|-0.3997525|0.44029328|-0.25210488|0.34830683|0.0638538|-0.18707454|0.20297281|-0.35015786|0.12971115|-0.16089745|-0.60852164|0.6604324|0.19707787|0.09329954|0.041915685|-0.7911482|0.121763825|-0.662865|-0.41948038|-0.18884389|0.101543486|0.18584146|0.084441155|0.23509556|0.08814642|-1.0589124|-0.11710221|-0.18761313|0.8783362|-0.1322883|0.57690823|-0.7173252|-0.34367195|-0.044729352|0.4503544
1;0.36924785|0.4571709|0.14438212|-0.27507535|-0.836522|-0.23711915|-0.5518235|-0.27327698|0.99397457|-0.850966|0.50578886|0.06534523|0.31216884|0.36237055|-0.06077233|0.56416506|0.11216143|-1.0089122|-0.37975603|-0.21159533|0.44302747|0.22059122|-0.02059047|0.014539555|0.18711166|1.1693766|-0.27758816|-0.33784586|0.3601921|-0.13591516|-0.20845428|-0.014142036|0.38429773|-0.9340503|0.04003519|-0.83965415|-0.73576653|0.4907897|0.47041857|-0.5056959|0.7452168|0.46268743|-0.6230571|-0.93029547|-0.2550835|-0.3739569|-0.02365309|-0.13462771|-0.13046074|0.120412804|-0.16661018|0.12953477|0.6911609|0.31196392|-0.20857075|-0.38409036|-0.81575286|0.55985695|-0.7191742|0.07817911|-0.260019|-0.44021857|0.42394528|0.1340316|0.24739943|0.45555866|-0.22636117|-0.016540721|-0.14885606|-0.3501027|-0.36387885|-0.15619263|-0.14048877|-0.5507207|0.68692917|0.07398088|0.6036066|0.9228365|-0.23048224|-0.0016922057|-0.5493395|0.45140234|-0.2600777|-0.24262513|-0.2718449|0.26497477|0.23462254|0.031404912|-0.011041552|0.63483214|-0.23257944|-0.16753249|-0.19297048|0.6406561|0.16094989|0.42625222|0.30261394|0.30385843|-0.7937243|0.5125438
2;0.399978|0.4380617|0.5748445|0.4470588|-0.4819539|-0.44717145|-0.34957978|0.81638604|0.48562866|-0.90574545|0.5379234|0.37580752|0.63739395|0.030398473|0.3960584|0.5459686|-0.17607388|-0.84225214|-0.018496215|-0.8391545|-0.42489177|0.1279022|-0.28367582|0.11782737|0.0018969476|0.6679271|0.1867936|-0.13544354|0.08961502|-0.107982874|-0.27800816|-0.33492512|0.123821974|-0.37490988|0.61608183|-0.72404927|0.25144815|0.5572518|0.6084402|-0.049091592|1.0292876|0.13220243|-0.16539271|-0.13056105|-0.20389357|-0.30582467|-0.6440706|-0.34279096|0.23591205|-0.11970921|1.0308888|0.14012046|0.5148549|0.3377899|-0.41976374|-0.34545568|-0.50470084|0.7658175|-0.86651474|-0.32265687|-0.44006938|0.0071687996|0.39911193|0.25150198|0.23423101|-0.27753574|-0.26102233|0.18008523|-0.124190405|-0.5648334|-0.26264217|-0.47549993|0.1611733|-0.62757874|0.42871177|-0.008530846|0.047602177|0.653902|-0.31952742|-0.11147474|-0.15822978|0.9299462|0.3675547|0.33299172|-0.018526703|0.30007654|-0.20195076|-0.0077415556|0.33177626|0.9271496|-0.60550076|-0.43208557|-0.2235035|0.25711936|0.18878397|0.123468176|0.07552099|0.94616914|-0.047447175|0.39798126
3;0.96690714|1.1556482|-0.16541436|0.23097093|-1.2422354|-0.45889544|-0.09383744|0.18681872|0.48550346|-1.055953|0.4615076|-0.058222085|0.4804942|-0.22149734|0.34821457|0.9506774|-0.046956047|-0.280703|-0.60320383|-0.57808334|-0.18887144|0.14326796|-0.02295646|-0.13275197|0.68642783|-0.050413072|0.23542817|-0.2742073|-0.12559126|-0.06607485|-0.21214041|-0.12379355|0.67992496|-0.37047228|0.66631305|-0.63250387|-0.029579818|-0.236013|0.3693741|0.05919478|0.50896466|0.24830937|-0.4454049|-0.857118|-0.5169355|-0.08055091|-0.430843|-0.05403456|-0.13773754|-0.14437523|0.73211694|-0.13888738|-0.29129052|0.9266684|0.2242763|0.071718395|-0.5897086|0.36616862|-0.6901712|0.078222506|-0.12508267|-0.3679056|0.27723345|0.14066738|0.18877575|0.6098261|-0.24760704|-0.10240437|-0.22672074|-0.3232239|-0.24797711|-0.412885|-0.2034306|-0.5640695|-0.48751408|-0.059581168|0.4099232|0.6779057|-0.22590323|-0.24438486|-0.2524109|0.24642856|-0.30227172|-0.071369186|-0.26914495|0.32017395|0.045150965|-0.2601989|0.07193965|0.60250354|-0.7309896|-0.073672004|0.20422632|0.37345082|0.007823132|0.24440834|-0.250805|0.062339574|-0.031163573|0.22190778
4;0.3074607|0.89478576|0.26910216|0.1817557|-0.5235887|-1.1705832|-0.41883516|0.33665234|0.47041163|-0.7881068|0.61618423|0.17241704|0.08030617|0.038485378|0.50008404|0.45047933|0.7052845|-0.6003411|0.10980941|-0.31140798|0.48490956|0.56941617|0.34893537|0.41554704|-0.13081133|0.13058776|-0.49030685|-0.56522155|0.04231377|-0.54876286|0.1578791|-0.22023907|-0.09817001|-0.6037528|0.6958156|-0.9404729|-0.4296888|0.9436837|0.8517509|-0.24594769|0.5241253|0.70926|-0.21648595|-0.85864437|-0.28439814|0.22685835|-0.73999107|-0.23367923|-0.15796718|0.48743045|-0.046137214|-0.12446001|0.2996691|0.31079942|0.32386735|0.260224|-0.16536269|0.5787077|-0.60949963|0.2353558|-0.21610111|-0.67599595|-0.1708925|-0.42090064|0.33476496|0.34074157|-0.17124423|0.2528162|0.36427653|0.096557945|-0.23870589|-0.2078933|0.75124377|0.15723515|-0.026806414|0.12340027|0.16095448|0.80436426|-0.6416422|0.3048001|-0.37898922|0.32948622|-0.3344662|-0.52900326|-0.46056423|0.44381446|0.17056835|0.007398352|0.9685894|0.1563682|-0.15274465|-0.7956335|0.09747986|0.30667704|0.3564321|0.0024566352|0.6452626|0.2390838|-0.04216885|0.6146909
5;0.8675542|0.3422308|0.31612185|0.37755275|-0.98720944|-0.47545215|-0.4785453|-0.1494396|0.10800114|-0.23043847|0.47048432|0.3921393|0.2525569|-0.06154438|0.056443125|0.366481|0.39749882|-0.39659125|-0.4422615|-0.74048746|0.46786296|0.19623819|0.16344512|0.6629149|-0.0363719|0.41490808|0.0049486905|0.1773031|0.24220695|-0.29570675|-0.56457895|8.5413456e-05|-0.037154526|-0.6734023|-0.10940397|-0.20175445|-0.60722345|0.43365064|0.049242705|0.4626786|0.9579788|0.20826569|-0.01531896|-0.83383846|-0.80572975|0.5295142|-0.30075422|-0.49856585|-0.30903244|-0.3464764|0.60735995|0.2860673|-0.42347223|0.7172724|-0.22822209|0.25567082|-0.5883739|0.7022867|-0.17550462|0.20362562|-0.2902487|-0.48272696|0.26105118|0.119464695|0.40587044|-0.058159754|-0.3679563|0.046621285|0.3223503|-0.44370234|0.49140027|-0.06923461|0.017143399|-0.016919926|-0.47228742|0.11574799|0.5881587|0.84792304|-0.67351425|0.322419|-0.092535526|0.309658|-0.0050369054|-0.09838888|-0.672193|0.08395946|0.08139906|-0.4772176|-0.3758541|0.7548206|-0.26780367|-0.4855715|-0.08178689|0.14800334|0.55741316|0.39488134|0.5576221|0.3410402|0.36259568|-0.0751116
6;-0.8001257|0.7135332|-0.18365708|-0.102921605|-0.25750437|0.36840963|-0.89413714|-0.14864239|-0.17606482|-1.3081703|0.38988054|-0.40641594|0.3868381|-0.5674393|0.19107126|0.51762724|-0.8689784|-0.4512683|-0.16504805|-0.48656318|0.10303642|0.00062943995|0.8426922|0.18647885|0.5176301|0.8356759|-0.13103265|-0.26402825|0.17975377|0.30143005|0.28579003|0.057875797|0.039286137|-0.922032|1.1984788|-0.91666317|-0.49268156|0.8143364|-0.25948617|-0.44979|0.18519711|0.3962598|-0.5294663|-0.0058272183|-0.74555826|0.07810056|-1.0902745|-0.34458828|-0.096557334|-0.4090409|1.295392|0.56892735|0.31663147|-0.19207206|-0.6225668|0.120587826|-0.073369935|0.21440685|-0.6852765|-0.19002143|0.10940459|-0.16700989|-0.009811148|0.40337986|0.38311982|0.035731707|-0.067206115|0.2689944|0.536803|-0.41090575|-0.39713833|0.33965015|0.16079338|-0.5394327|-0.16434632|0.32375577|0.5671327|0.81997746|-0.033206105|-0.18720801|-0.55063945|-0.04699883|0.28157517|-0.6106614|-0.45354128|0.5878971|0.2857317|-0.3512071|0.99805564|0.82359505|0.3529346|-0.0789407|-0.6890639|0.26871538|-0.61212426|0.7252884|0.064820066|-0.3406075|-0.4474644|0.6615171
7;0.28228456|0.33067963|0.35600048|0.24567932|-0.4717289|0.17954755|-0.37546924|0.1363438|0.9128252|-0.9010565|0.94998145|0.35556266|0.22959635|-0.24765345|0.27889428|-0.30635127|0.41880804|-0.5285011|-0.39408338|-0.78094393|0.15676652|0.256537|-0.127452|0.45135576|0.41973886|0.58477736|-0.41926432|-0.2875665|0.33900258|-0.44067776|-0.66302764|0.09123002|0.17745815|-0.59148026|-0.09011462|-0.99058115|-0.7327167|0.70368594|0.20585372|-0.06247739|0.6098106|0.86648786|-0.39468452|-0.77841437|-0.26798505|0.7790649|-0.43893567|-0.084127575|-0.13490686|-0.9043502|0.08203332|0.19578975|0.4296562|0.28263608|-0.27226123|0.08629835|0.21215725|0.8398489|-0.75571597|0.59063745|0.35616803|-0.44035187|0.30607995|0.25619447|0.22534151|0.51875955|-0.08109918|0.066946276|0.24105716|-0.5866663|-0.03924933|0.460088|1.001061|-0.083670065|0.37621635|0.37671605|0.27139392|0.6531834|-0.66230583|0.06379734|-0.15557441|0.09748986|-0.18499282|-0.3458897|-0.23196091|-0.27309757|0.51330316|-0.17892864|0.79041094|0.6319106|0.115979806|-0.53673637|0.6359085|0.39531508|-0.09852236|0.2931748|0.7252481|0.13638753|-0.5204827|1.0208347
8;1.3723501|0.9626092|0.17825253|-0.30726245|-0.16389549|-0.7822329|-0.76035386|0.41043624|0.25270498|-1.5763388|0.3927967|0.95252407|0.22246629|0.038593426|0.6680063|0.073064774|0.6004504|-0.9404441|-0.607946|-0.25933868|1.2063355|0.07322633|-0.37836492|-0.0896301|0.6118996|0.17919105|0.44785583|0.21569797|-0.24002527|0.16275|-0.5282349|-0.2843752|-0.10578832|-1.0639584|0.80871767|-0.74602294|-0.12800519|0.021931946|0.14635873|0.53644687|1.0409182|0.3342398|-0.38088858|-0.5487225|-0.41666922|0.106583156|-0.3046641|-0.31758505|0.25176507|-0.21043706|-0.5321065|0.3265698|-0.013591513|0.33237344|0.16637474|-0.2829876|-0.7198156|0.3122345|-0.2838052|0.024867348|-0.5205295|-0.19683374|0.9504781|0.1742551|0.42743936|0.37341738|-0.4589472|0.1904268|0.16946226|0.041530162|0.33066824|-0.7330726|-0.17043519|-0.07080552|-0.23377736|0.6024589|-0.41210097|0.57185084|-1.4308219|-0.40354872|-0.23969892|1.0972995|0.2069534|-0.1879301|-0.036376357|0.19435953|0.182784|-0.58529294|-0.67503583|0.81859267|0.46531016|-0.34236985|0.09570161|1.0287775|0.34872392|0.14108996|-0.19193375|0.82634723|0.42755097|0.28983146
9;0.38548756|0.6919142|0.8127467|0.35794476|-0.5435504|-0.16518795|-0.7808694|0.13984352|0.38622463|-0.34928277|1.0764871|0.15469661|0.3481619|0.62511677|0.47380513|-0.066706866|0.2124627|-0.40360707|0.023756787|-0.4948165|0.81599844|-0.1002882|-0.050229058|0.37554663|0.35295492|0.7639935|-0.33103123|-0.5030489|0.038173273|-0.5432064|0.147965|0.32488716|-0.07304448|-0.3224756|0.33624163|-0.51791525|-0.7338766|1.089216|0.4637516|-0.11060032|0.95850945|0.27236605|0.10971117|-0.52289927|0.20946187|-0.18381408|-0.61410195|-0.15048233|-0.25167057|0.31341174|-0.32741216|0.0153144|0.3303235|0.88481593|0.37257734|-0.57733727|-1.0289909|-0.070322484|-0.7694272|0.34765702|-0.2519679|-0.503037|0.5314987|0.585655|0.081954435|0.6415596|-0.37640524|0.06498096|0.4158304|-0.37066567|-0.2522599|-0.33597466|0.1808479|-0.74035776|0.400649|0.7469417|0.101816416|0.4089037|-1.047767|-0.31086767|0.090509266|0.27075732|-0.2733114|0.30942446|-0.56552356|-0.05684328|0.29016578|-0.05418977|0.18244964|0.33305213|-0.088286914|-0.116227254|-0.4264948|0.36461228|0.42407832|0.43624052|0.33426717|0.5771926|-0.43136948|0.34555852
