state;action_reward;n_state
12281&0|12216&0|9562&0|12368&0|12385&0|12205&0|12229&0|8847&0|12516&0|12442&0|12312&0|5957&0;12520&0|12558&0|12560&0|12541&0;12281&0|12216&0|9562&0|12368&0|12385&0|12205&0|12229&0|8847&0|12516&0|12442&0|12312&0|5957&0|12520&0|12558&0|12560&0|12541&0
10974&0|6907&0|13486&0|17899&0|3084&0|17827&0|2459&0|21990&0|21956&0|11628&0|3400&0|1619&0;22013&0|1678&0|6939&0|21981&0;10974&0|6907&0|13486&0|17899&0|3084&0|17827&0|2459&0|21990&0|21956&0|11628&0|3400&0|1619&0|22013&0|1678&0|6939&0|21981&0
1817&0|6897&0|1662&0|2909&0|5678&0|4389&0|5247&0|3056&0|2308&0|5689&0|11017&0|2001&0;21553&0|3778&0|6896&0|29273&0;1817&0|6897&0|1662&0|2909&0|5678&0|4389&0|5247&0|3056&0|2308&0|5689&0|11017&0|2001&0|21553&0|3778&0|6896&0|29273&0
16592&0|4626&0|11832&0|16615&0|974&0|16594&0|988&0|11382&0|16617&0|16603&0|16597&0|16604&0;16612&0|1008&0|6451&0|5874&0;16592&0|4626&0|11832&0|16615&0|974&0|16594&0|988&0|11382&0|16617&0|16603&0|16597&0|16604&0|16612&0|1008&0|6451&0|5874&0
6744&0|29656&0|5265&0|29665&0|4296&0|29650&0|6295&0|9099&0|13709&0|29647&0|5189&0|10437&0;3750&0|5678&0|7573&0|20522&0;6744&0|29656&0|5265&0|29665&0|4296&0|29650&0|6295&0|9099&0|13709&0|29647&0|5189&0|10437&0|3750&0|5678&0|7573&0|20522&0
1360&0|1876&0|1248&0|1794&0|1838&0|1883&0|1842&0|1804&0|1811&0|264&1|1829&0|1851&0;1893&0|1542&0|1905&0|1908&0;1360&0|1876&0|1248&0|1794&0|1838&0|1883&0|1842&0|1804&0|1811&0|264&1|1829&0|1851&0|1893&0|1542&0|1905&0|1908&0
926&0|27968&0|3852&0|4291&0|6484&0|3865&0|19660&0|4167&0|910&0|10646&0|25123&0|8974&0;934&0|18931&0|27969&0|17362&0;926&0|27968&0|3852&0|4291&0|6484&0|3865&0|19660&0|4167&0|910&0|10646&0|25123&0|8974&0|934&0|18931&0|27969&0|17362&0
2565&0|2553&0|2549&0|2050&0|2561&0|2555&0|2538&0|1675&0|249&0|2645&0|2649&0|1070&0;2600&0|2590&0|2599&0|2589&0;2565&0|2553&0|2549&0|2050&0|2561&0|2555&0|2538&0|1675&0|249&0|2645&0|2649&0|1070&0|2600&0|2590&0|2599&0|2589&0
3385&0|3386&0|4397&0|20810&0|1184&0|1805&0|13734&0|1483&0|24106&0|6551&0|3815&0|11893&0;29319&0|1642&0|15581&0|2060&0;3385&0|3386&0|4397&0|20810&0|1184&0|1805&0|13734&0|1483&0|24106&0|6551&0|3815&0|11893&0|29319&0|1642&0|15581&0|2060&0
10235&0|3287&0|5728&0|10066&0|6801&0|8395&1|10264&0|4381&1|9305&0|3747&0|10180&0|10138&0;8584&0|10273&0|10281&1|10288&0;10235&0|3287&0|5728&0|10066&0|6801&0|8395&1|10264&0|4381&1|9305&0|3747&0|10180&0|10138&0|8584&0|10273&0|10281&1|10288&0
4430&0|1500&0|1538&0|3556&0|3627&0|1484&0|15240&0|5018&0|2601&0|1445&0|3836&0|939&0;15285&0|5695&0|15273&0|15284&0;4430&0|1500&0|1538&0|3556&0|3627&0|1484&0|15240&0|5018&0|2601&0|1445&0|3836&0|939&0|15285&0|5695&0|15273&0|15284&0
19780&0|6609&0|14462&0|19132&0|1910&0|11083&0|19832&0|9310&0|4470&0|5811&0|19846&0|10597&0;19871&0|7664&0|6085&0|7664&0;19780&0|6609&0|14462&0|19132&0|1910&0|11083&0|19832&0|9310&0|4470&0|5811&0|19846&0|10597&0|19871&0|7664&0|6085&0|7664&0
9048&0|12184&0|4529&0|6561&0|18860&0|18865&0|6257&0|18843&0|10706&0|18839&0|2028&0|10694&0;7088&0|18857&0|2071&0|18876&0;9048&0|12184&0|4529&0|6561&0|18860&0|18865&0|6257&0|18843&0|10706&0|18839&0|2028&0|10694&0|7088&0|18857&0|2071&0|18876&0
4232&0|148&0|7421&0|26355&0|2246&0|7066&0|6245&0|9415&0|14704&0|28933&0|5236&0|8960&0;5753&0|2854&0|3222&0|6837&0;4232&0|148&0|7421&0|26355&0|2246&0|7066&0|6245&0|9415&0|14704&0|28933&0|5236&0|8960&0|5753&0|2854&0|3222&0|6837&0
1809&0|1983&0|603&0|10559&0|10479&0|10495&0|10469&0|2665&0|10526&0|10569&0|10475&0|10555&0;5758&0|10629&0|2932&0|1678&0;1809&0|1983&0|603&0|10559&0|10479&0|10495&0|10469&0|2665&0|10526&0|10569&0|10475&0|10555&0|5758&0|10629&0|2932&0|1678&0
21721&0|13285&0|13067&0|13433&0|28113&0|16199&0|1329&0|3235&0|4718&0|28191&0|28106&0|24032&0;24181&0|3299&0|16467&0|5593&0;21721&0|13285&0|13067&0|13433&0|28113&0|16199&0|1329&0|3235&0|4718&0|28191&0|28106&0|24032&0|24181&0|3299&0|16467&0|5593&0
5536&0|168&0|199&0|2395&0|12755&0|6053&0|20437&0|22699&0|676&0|8970&0|26132&0|470&0;7074&0|7745&0|12047&0|7050&0;5536&0|168&0|199&0|2395&0|12755&0|6053&0|20437&0|22699&0|676&0|8970&0|26132&0|470&0|7074&0|7745&0|12047&0|7050&0
